p_val;avg_log2FC;pct.1;pct.2;p_val_adj;cluster;gene
8,20E-256;140.928.954.415.894;0.949;0.384;2,11E-251;0;INPP4B
1,60E-179;125.470.049.691.381;0.826;0.358;4,11E-175;0;RORA
1,12E-170;109.594.815.729.838;0.84;0.337;2,87E-166;0;ANK3
2,19E-168;104.391.588.095.505;0.752;0.318;5,63E-163;0;ITGB1
5,31E-165;131.848.924.677.637;0.871;0.466;1,36E-160;0;LTB
7,08E-165;107.891.661.350.508;0.845;0.364;1,82E-160;0;IL7R
6,78E-162;0.985298908293812;1;0.916;1,74E-158;0;ARHGAP15
5,96E-157;114.336.309.870.421;0.859;0.468;1,53E-153;0;CDC14A
6,64E-152;101.467.104.067.558;0.798;0.384;1,71E-147;0;TTC39C
1,79E-148;0.976724857508531;0.856;0.399;4,60E-144;0;SYNE2
2,02E-138;0.975970586021235;0.852;0.422;5,19E-134;0;IL32
3,24E-133;0.805708541266197;0.251;0.037;8,34E-130;0;AL136456.1
3,91E-110;0.908842599473719;0.886;0.601;1,00E-105;0;AC079793.1
1,43E-100;0.8574471525743;0.704;0.348;3,68E-96;0;MDFIC
1,97E-97;0.728797344064945;0.547;0.206;5,06E-93;0;GPRIN3
1,31E-96;0.473756895556842;0.339;0.085;3,38E-92;0;GATA3
1,50E-94;0.620506236163382;0.62;0.257;3,85E-90;0;CD2
3,31E-92;0.993539009960547;0.834;0.47;8,52E-89;0;BCL2
2,35E-88;0.505338968815986;0.333;0.087;6,04E-85;0;EPHA4
6,23E-88;0.661868244242558;0.934;0.483;1,60E-83;0;BCL11B
7,28E-88;0.638190658644047;0.816;0.396;1,87E-83;0;TC2N
2,05E-83;0.682331623769682;0.525;0.209;5,26E-78;0;ADAM19
2,85E-82;0.676531653349973;0.717;0.353;7,32E-78;0;TRAC
2,14E-80;0.641978826123231;0.705;0.336;5,51E-77;0;PRKCQ
4,61E-80;0.705932855314698;0.919;0.55;1,19E-75;0;SKAP1
1,18E-79;0.602699527719553;0.845;0.411;3,04E-75;0;CAMK4
1,29E-79;0.551771889364604;0.586;0.25;3,32E-75;0;SPOCK2
3,31E-78;0.732804143254771;0.86;0.524;8,51E-74;0;KLF12
8,70E-76;0.627137065826417;0.963;0.833;2,24E-72;0;RPL11
3,49E-72;0.614244713175273;0.975;0.872;8,98E-68;0;RPS2
2,48E-70;0.639068944566242;0.737;0.384;6,39E-67;0;TNIK
9,28E-71;0.356877905609984;0.288;0.077;2,39E-65;0;SLAMF1
8,46E-69;0.611960564710911;0.418;0.145;2,17E-64;0;AC139720.1
1,84E-68;0.570353910566581;0.959;0.816;4,72E-64;0;RPS27A
3,53E-65;0.615452904844799;0.663;0.336;9,09E-61;0;SLFN12L
9,20E-64;0.38785084501698;0.357;0.117;2,37E-60;0;CD28
5,11E-62;0.566607199266559;1;0.999;1,31E-57;0;B2M
1,39E-59;0.520428767299041;0.565;0.262;3,59E-56;0;CD6
1,41E-59;0.720577767688513;0.76;0.513;3,62E-55;0;PAG1
2,09E-60;0.50777933222474;0.549;0.246;5,39E-55;0;PATJ
1,35E-58;0.425345986178562;0.335;0.111;3,47E-54;0;MFHAS1
8,42E-58;0.562053803504934;0.546;0.256;2,16E-53;0;DOCK9
3,58E-56;0.529984037710381;0.971;0.923;9,21E-52;0;EEF1A1
1,67E-54;0.5101416620274;0.901;0.529;4,29E-50;0;PRKCH
2,48E-54;0.459107090969781;0.981;0.91;6,38E-50;0;RPL41
4,50E-55;0.711869188725654;0.654;0.369;1,16E-50;0;CD69
1,33E-53;0.378470391332302;0.322;0.109;3,43E-49;0;TRAT1
2,83E-53;0.484879671363334;0.973;0.896;7,28E-49;0;RPL13
7,34E-53;0.368523298131692;0.32;0.107;1,89E-49;0;DUSP16
4,16E-52;0.509877231581505;0.938;0.792;1,07E-47;0;RPS18
4,59E-52;0.486824553758981;0.96;0.864;1,18E-47;0;RPL13A
8,30E-52;0.56525847757998;0.927;0.772;2,13E-47;0;RPL3
3,89E-50;0.460877985089658;0.517;0.237;9,99E-47;0;TESPA1
5,91E-50;0.484363193823309;0.914;0.782;1,52E-45;0;RPL10
9,30E-50;0.584135313032083;0.674;0.389;2,39E-47;0;AKT3
2,60E-49;0.640134773767074;0.665;0.395;6,69E-45;0;CASK
6,85E-49;0.382434852006827;0.384;0.149;1,76E-44;0;CD226
1,25E-48;0.356863490246363;0.266;0.082;3,22E-44;0;LRIG1
2,31E-48;0.645472031453728;0.56;0.31;5,95E-44;0;KAT2B
4,72E-48;0.457011381805964;0.562;0.279;1,21E-43;0;RASGRP1
2,27E-47;0.433957150588893;0.303;0.103;5,84E-43;0;FAAH2
5,77E-47;0.611053435550667;0.455;0.203;1,48E-42;0;PCAT1
8,16E-47;0.34428103552826;0.332;0.121;2,10E-42;0;CCND2
2,66E-46;0.559372039312455;0.457;0.213;6,85E-42;0;RORA-AS1
1,31E-45;0.525404250552002;0.822;0.623;3,36E-41;0;RPSA
1,98E-44;0.455830518790917;0.562;0.288;5,09E-40;0;CD3D
1,81E-43;0.411363849528654;0.835;0.47;4,66E-43;0;CD247
2,79E-43;0.620157512259736;0.497;0.26;7,18E-39;0;LINC00513
3,07E-43;0.42348114339339;0.676;0.36;7,90E-39;0;ITK
3,84E-43;0.441883209087934;0.704;0.396;9,87E-39;0;ETS1
7,02E-43;0.428037743178924;0.693;0.361;1,80E-38;0;THEMIS
5,25E-42;0.349380980772715;0.354;0.14;1,35E-38;0;OPTN
8,47E-42;0.470839920019995;0.908;0.75;2,18E-37;0;RPL23A
1,07E-41;0.386155691737771;0.317;0.118;2,76E-37;0;TSPAN5
2,62E-41;0.456362446630504;0.881;0.65;6,73E-37;0;AAK1
2,35E-40;0.497983376133034;0.772;0.489;6,04E-36;0;SERINC5
